Common.Name,Scientific.Name,Resident.status,IUCN.Redlist.Status,Distribution.Status,SoIB.status,Order,Family,Endemicity
Red-wattled Lapwing,Vanellus indicus,Resident,Least Concern,Very Large,Low,Charadriiformes,Charadriidae,Not endemic
Red-vented Bulbul,Pycnonotus cafer,Resident,Least Concern,Very Large,Low,Passeriformes,Pycnonotidae,Not endemic
Red-rumped Swallow,Cecropis daurica,Resident,Least Concern,Very Large,Low,Passeriformes,Hirundinidae,Not endemic
Red-headed Vulture,Sarcogyps calvus,Resident,Critically Endangered,Moderate,High,Accipitriformes,Accipitridae,Not endemic
Red Spurfowl,Galloperdix spadicea,Resident,Least Concern,Large,Low,Galliformes,Phasianidae,Not endemic
Rain Quail,Coturnix coromandelica,Resident,Least Concern,Large,Moderate,Galliformes,Phasianidae,Not endemic
Flame-throated Bulbul,Rubigula gularis,Resident,Least Concern,Moderate,Moderate,Passeriformes,Pycnonotidae,Western Ghats
Indian Blackbird,Turdus simillimus,WinterMigrant,Least Concern,Moderate,Low,Passeriformes,Turdidae,Not endemic
Purple Sunbird,Cinnyris asiaticus,Resident,Least Concern,Very Large,Low,Passeriformes,Nectariniidae,Not endemic
Purple Heron,Ardea purpurea,Resident,Least Concern,Very Large,Low,Pelecaniformes,Ardeidae,Not endemic
Puff-throated Babbler,Pellorneum ruficeps,Resident,Least Concern,Large,Moderate,Passeriformes,Pellorneidae,Not endemic
Indian Grey Hornbill,Ocyceros birostris,Resident,Least Concern,Very Large,Low,Bucerotiformes,Bucerotidae,Not endemic
Plain Prinia,Prinia inornata,Resident,Least Concern,Very Large,Low,Passeriformes,Cisticolidae,Not endemic
Pin-tailed Snipe,Gallinago stenura,WinterMigrant,Least Concern,Moderate,Moderate,Charadriiformes,Scolopacidae,Not endemic
Pied Kingfisher,Ceryle rudis,Resident,Least Concern,Very Large,Moderate,Coraciiformes,Alcedinidae,Not endemic
Pied Cuckoo,Clamator jacobinus,Resident,Least Concern,Large,Low,Cuculiformes,Cuculidae,Not endemic
Pied Bushchat,Saxicola caprata,Resident,Least Concern,Large,Low,Passeriformes,Muscicapidae,Not endemic
Pheasant-tailed Jacana,Hydrophasianus chirurgus,Resident,Least Concern,Very Large,Moderate,Charadriiformes,Jacanidae,Not endemic
Peregrine Falcon,Falco peregrinus,Resident,Least Concern,Moderate,Low,Falconiformes,Falconidae,Not endemic
Pallid Harrier,Circus macrourus,WinterMigrant,Near Threatened,Large,Moderate,Accipitriformes,Accipitridae,Not endemic
